SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,confidence,Degree,Eccentricity,IsSingleNode,kingdom,name,NeighborhoodConnectivity,Node_Status,NumberOfDirectedEdges,Radiality,selected,SelfLoops,shared name,Stress,taxonomy,TopologicalCoefficient
447,5.07368421,0.01251716,0.19709544,0,0.999999235,3,8,FALSE,Bacteria,5248ff932062676df16e9098686b0ba6,3,,3,0.66052632,FALSE,0,5248ff932062676df16e9098686b0ba6,784,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__EB1017; g__; s__,0.33333333
871,5.87368421,0.02529965,0.1702509,0,0.999773728,3,10,FALSE,Fungi,0961cf8f1b5074801797358681641f3c,3,Clustered,3,0.59385965,FALSE,0,0961cf8f1b5074801797358681641f3c,2008,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__Trichoderma_aerugineum,0.4
172,6.34210526,0.01357786,0.15767635,0,0.991508367,3,11,FALSE,Bacteria,4c7b9df2d3f8d2b174457df047420340,2.33333333,Clustered,3,0.55482456,FALSE,0,4c7b9df2d3f8d2b174457df047420340,1082,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Piscirickettsiaceae; g__; s__,0.44444444
114,5.65263158,0.00965436,0.17690875,0,1,3,10,FALSE,Bacteria,66af9e9cd9ad7175d21a4f5e68ea957e,2.66666667,Clustered,3,0.6122807,FALSE,0,66af9e9cd9ad7175d21a4f5e68ea957e,704,k__Bacteria; p__Actinobacteria; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteraceae; g__; s__,0.33333333
77,7.43684211,0.00747641,0.13446568,0.33333333,0.999865033,3,12,FALSE,Bacteria,8dc321db092dfde96b27ec7875538be9,2.33333333,Clustered,3,0.46359649,FALSE,0,8dc321db092dfde96b27ec7875538be9,406,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__Steroidobacter; s__,0.5
186,7.23684211,0.01221117,0.13818182,0.33333333,0.999802563,3,11,FALSE,Bacteria,07b4d679c6e07ee7e0339e06402725b8,2.33333333,Clustered,3,0.48026316,FALSE,0,07b4d679c6e07ee7e0339e06402725b8,750,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__Steroidobacter; s__,0.5
122,5.81578947,0.01761255,0.1719457,0,0.999972489,3,11,FALSE,Bacteria,397b787d412688af6cca2406b9f50d19,2.33333333,Clustered,3,0.59868421,FALSE,0,397b787d412688af6cca2406b9f50d19,1028,k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae,0.33333333
78,5.26842105,0.02911948,0.18981019,0,0.999999998,3,9,FALSE,Bacteria,15ce816d04a72a4e159b1381107fe1da,4,Clustered,3,0.64429825,FALSE,0,15ce816d04a72a4e159b1381107fe1da,1736,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__; g__; s__,0.33333333
116,5.29473684,0.00928289,0.1888668,0.33333333,1,3,9,FALSE,Bacteria,2793dd05029141a96b679daae1152950,4.33333333,Clustered,3,0.64210526,FALSE,0,2793dd05029141a96b679daae1152950,792,k__Bacteria; p__Actinobacteria; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteraceae; g__; s__,0.44444444
1030,5.23684211,0.03775906,0.19095477,0,0.728604403,3,9,FALSE,Fungi,47f5450c3c6b41b163a5424d8aa8df33,3.66666667,Clustered,3,0.64692982,FALSE,0,47f5450c3c6b41b163a5424d8aa8df33,2408,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__unidentified;g__unidentified;s__unidentified,0.33333333
957,5.83157895,0.01503388,0.17148014,0,0.83446072,3,9,FALSE,Fungi,eabca7f74185ffe64a86e6ff2688dcfc,2.66666667,Clustered,3,0.59736842,FALSE,0,eabca7f74185ffe64a86e6ff2688dcfc,784,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Periconiaceae;g__Periconia;s__Periconia_macrospinosa,0.33333333
138,5.82105263,0.01619485,0.17179024,0,0.999938347,3,9,FALSE,Bacteria,60d6dd89b995d7e992ac67bef9e37208,2.33333333,Clustered,3,0.59824561,FALSE,0,60d6dd89b995d7e992ac67bef9e37208,878,k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__; s__,0.33333333
456,5.06315789,0.04872967,0.1975052,0,0.959709018,3,10,FALSE,Bacteria,8cb8851cb87b1f4f07e130feb72d4fc5,3.66666667,,3,0.66140351,FALSE,0,8cb8851cb87b1f4f07e130feb72d4fc5,2796,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__,0.33333333
458,5.15789474,0.01473256,0.19387755,0,0.999343315,3,10,FALSE,Bacteria,2bf25ed1b1d393f2e4cbc7d257fbb3de,3,,3,0.65350877,FALSE,0,2bf25ed1b1d393f2e4cbc7d257fbb3de,1018,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__,0.33333333
139,5.05263158,0.0229913,0.19791667,0,0.999489497,3,9,FALSE,Bacteria,5df7fe92c07542211019a1b1bf3cb1e3,3.33333333,Clustered,3,0.6622807,FALSE,0,5df7fe92c07542211019a1b1bf3cb1e3,1430,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__mb2424; g__; s__,0.33333333
104,5.75789474,0.00878649,0.17367459,0.33333333,0.769054105,3,10,FALSE,Bacteria,11e707b996b3c679046c442aa2ceacad,3,Clustered,3,0.60350877,FALSE,0,11e707b996b3c679046c442aa2ceacad,610,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__,0.44444444
